Gene,Pearson_Corr_Size,P_Value_Size,BH_Corrected_P_Value_Size,Pearson_Corr_KRN,P_Value_KRN,BH_Corrected_P_Value_KRN
GRMZM2G157510,-0.18116571620082222,0.3968888987001834,0.9984265756175531,-0.35235000415336853,0.09128514098395803,0.9987071952047535
GRMZM2G172758,-0.015588659076258414,0.9423665002716948,0.9984265756175531,0.2302616048734428,0.2790499205583328,0.9987071952047535
GRMZM2G171181,-0.2393007906965448,0.2600782656324671,0.9984265756175531,0.03454268548795659,0.8726940121266948,0.9987071952047535
GRMZM2G066860,-0.21284695279491755,0.3180024440653407,0.9984265756175531,-0.02727408365840678,0.8993318567525098,0.9987071952047535
GRMZM2G046932,0.15764356967528767,0.4619230523915501,0.9984265756175531,-0.04752939524035343,0.8254509227762467,0.9987071952047535
GRMZM2G047002,0.10248288648769567,0.6337056289814524,0.9984265756175531,-0.016898997292218703,0.9375308528019402,0.9987071952047535
GRMZM2G149257,0.03592626019147374,0.8676378046026246,0.9984265756175531,-0.3490857230387832,0.09453596281840869,0.9987071952047535
GRMZM5G823004,0.1820091784534222,0.394657048787793,0.9984265756175531,-0.08935563455402891,0.6779845569852916,0.9987071952047535
GRMZM5G860938,0.3147955295430337,0.134070229542746,0.9984265756175531,0.1885803295697381,0.3775126479582822,0.9987071952047535
GRMZM2G107532,0.21689445418717182,0.30866739593034587,0.9984265756175531,0.09107890496275095,0.6721086095931236,0.9987071952047535
GRMZM2G113174,-0.046466831242506404,0.8292965681333296,0.9984265756175531,-0.04465326608325934,0.8358689963341868,0.9987071952047535
GRMZM2G178571,-0.18975269778299533,0.37449946661551653,0.9984265756175531,-0.2811577001834609,0.18322532441744885,0.9987071952047535
GRMZM2G062841,-0.12991690701519293,0.5451411449108152,0.9984265756175531,-0.0008834250906214237,0.9967312136743689,0.9996284590282268
GRMZM2G038485,0.12982012505450852,0.5454432376226326,0.9984265756175531,0.37413652642843837,0.07168685101007498,0.9987071952047535
GRMZM2G087918,-0.18710762682554188,0.3813173569257468,0.9984265756175531,-0.35002918538341754,0.09358766172928863,0.9987071952047535
GRMZM2G117855,-0.014383253145275434,0.9468166568259615,0.9984265756175531,-0.25562102450720237,0.22797699092852314,0.9987071952047535
GRMZM2G028521,0.14337901161857522,0.503890958631821,0.9984265756175531,-0.2958519703006987,0.16042190102063092,0.9987071952047535
GRMZM2G150867,-0.1849646764843132,0.38689254937454554,0.9984265756175531,0.07331965336268523,0.7334986754795388,0.9987071952047535
GRMZM2G358279,-0.12976141600296387,0.5456265281720795,0.9984265756175531,-0.0029950402745844863,0.988918268748295,0.9987071952047535
GRMZM2G056870,0.033744855532890035,0.8756118563290468,0.9984265756175531,0.07019946447491568,0.7444628040355679,0.9987071952047535
GRMZM2G112640,-0.04692196626536917,0.8276488665268479,0.9984265756175531,0.06084943813900384,0.7775999485580718,0.9987071952047535
GRMZM2G100707,-0.32356493745679693,0.1229891161397157,0.9984265756175531,-0.21957042601997342,0.3025891642497411,0.9987071952047535
AC209858.4_FG002,0.15620116775158122,0.4660823658554378,0.9984265756175531,0.09621916354985309,0.6546930054178791,0.9987071952047535
GRMZM2G086072,0.048177555493400956,0.823106998220708,0.9984265756175531,0.12733966435471636,0.5532119233491198,0.9987071952047535
GRMZM2G140339,-0.1315422306666325,0.5400794766051322,0.9984265756175531,-0.30605852977142917,0.1458067426954636,0.9987071952047535
